"","ibge_code","ibge_name","taxes_2010","taxes_2014","gdp_2010","gdp_2014","pop_2010","pop_2014","taxes_per_capita","taxes_per_gdp","taxes_growth","gdp_growth","pop_growth","Center","Left","Right","Total","delta"
"27",2311504,"Quixeré",6422.093,48236.682,129072.846,496759.845,19422,21410,2.25299775805698,0.0971026190734076,0.655484843927892,0.400644432094866,0.0246621152704281,5,10935,1307,12247,0.78615171062301
"28",2903102,"Barra do Rocha",1055.323,1207.398,36819.268,141667.796,6336,6518,0.185240564590365,0.00852274147047505,0.034227930447555,0.400551222126774,0.00710510379818929,1,2462,230,2693,0.828815447456368
"29",5103858,"Gaúcha do Norte",8016.759,22314.042,89439.307,337845.294,6287,6900,3.23391913043478,0.0660481066224353,0.291650018597882,0.394111026109221,0.023531958704446,2,961,1611,2574,-0.252525252525253
"30",2913408,"Igaporã",3405.574,16624.065,57469.177,211371.748,15194,16193,1.02662045328228,0.0786484719802762,0.486403525384833,0.384850812948421,0.0160470013449614,1,7077,782,7860,0.80089058524173
"31",2203230,"Currais",2771.096,9523.831,34897.096,125940.923,4704,4829,1.97221598674674,0.0756214165589369,0.361570167214956,0.378302030399427,0.00657809029460465,2,3190,325,3517,0.814614728461757
"32",1712702,"Mateiros",868.843,3216.129,49393.923,168402.355,2219,2478,1.29787288135593,0.0190978861311055,0.387068912932615,0.358841055614522,0.0279831592169673,0,824,318,1142,0.4430823117338
"33",4321634,"Três Arroios",1626.387,2965.192,38522.422,130646.895,2855,2885,1.02779618717504,0.0226962301706443,0.162002952043962,0.357051648777991,0.00261668176428564,0,1039,1078,2117,-0.0184222957014643
"34",2208908,"Ribeiro Gonçalves",8074.32,16526.036,81673.134,276299.991,6841,7112,2.32368335208099,0.0598119310108845,0.196095025828914,0.356205222637191,0.00975971298019696,2,3189,483,3674,0.736526946107784
"35",2104305,"Godofredo Viana",820.852,5826.82,45674.578,149208.977,10635,11262,0.517387675368496,0.0390514037235172,0.632268822566668,0.344404948413868,0.0144239805414361,3,4172,492,4667,0.788515106063853
"36",5107743,"Santa Cruz do Xingu",2020.96,4960.893,25214.549,82184.103,1899,2213,2.24170492544058,0.0603631702350027,0.251700816547766,0.343643803748358,0.0389965663107859,0,356,606,962,-0.25987525987526
"37",4219150,"Vargem",789.932,1266.565,31532.614,102738.461,2808,2674,0.473659311892296,0.012328051127805,0.125277004100707,0.343517322456049,-0.0121498392256513,0,1167,877,2044,0.14187866927593
"38",4214904,"Rio Fortuna",5139.602,7305.424,72256.297,234823.691,4446,4569,1.59891092142701,0.0311102511373097,0.0918902409801641,0.342661550392812,0.00684571225534492,1,1183,2537,3721,-0.363880677237302
"39",2201150,"Baixa Grande do Ribeiro",14465.856,37873.185,148451.422,481692.27,10516,11123,3.40494336060415,0.0786252704449669,0.272028737417219,0.342135391758337,0.0141281546460514,2,5313,620,5935,0.790732940185341
"40",3543006,"Ribeirão Branco",1580.757,4636.094,156171.1,504479.476,18272,17866,0.259492555692377,0.00918985651658106,0.308644788037703,0.340635478193225,-0.0056018428828728,3,6258,4144,10405,0.203171552138395
"41",4110409,"Indianópolis",9462.276,32822.8,116519.671,374722.054,4299,4469,7.34455135377042,0.0875923892112312,0.364724548688632,0.339144682229097,0.00974271230502333,0,1110,1603,2713,-0.181717655731662
"42",3165909,"Senador Modestino Gonçalves",1277.789,1762.133,25644.097,81831.518,4574,4523,0.389593853636967,0.0215336711705629,0.0836645957420761,0.336544118578002,-0.00279922611614458,0,1592,1129,2721,0.170158030135979
"43",5102686,"Campos de Júlio",36220.159,67743.738,302203.135,948858.643,5019,5969,11.3492608477132,0.0713949738454351,0.169444729855989,0.331145836514553,0.0442899435700246,1,1256,1374,2631,-0.0448498669707336
"44",5107065,"Querência",34585.972,89769.75,322214.712,1010293.853,13021,15121,5.93676013491171,0.0888550887778192,0.269280206339407,0.330685995132538,0.0380876961264998,3,2149,4104,6256,-0.3125
"45",5200050,"Abadia de Goiás",4189.579,23593.843,59042.935,185114.04,6868,7733,3.05105948532264,0.127455718647813,0.540483586208659,0.330662307860124,0.0301001037726982,3,2657,2457,5117,0.0390854016025015
"46",3525201,"Jarinu",66347.595,198765.425,496629.597,1556427.198,23827,26921,7.38328535344155,0.127706214113588,0.315615296013481,0.330528106971102,0.0309923808343606,1,6006,7151,13158,-0.0870193038455692
"47",5107156,"Reserva do Cabaçal",2794.369,5802.564,70593.639,219852.682,2578,2621,2.21387409385731,0.026392964357833,0.200422276529087,0.328438793634855,0.00414406795673061,0,764,626,1390,0.0992805755395683
"48",3102407,"Alvorada de Minas",2159.823,25301.192,21985.763,68450.21,3548,3661,6.91100573613767,0.36962913627292,0.850038239429548,0.328337125017998,0.00786886548633392,1,1664,716,2381,0.398152036959261
"49",5108857,"Nova Marilândia",4780.44,10642.945,49541.885,153874.724,2925,3080,3.45550162337662,0.0691662979034815,0.221514105960652,0.327543284143689,0.0129924570364681,0,895,761,1656,0.0809178743961353
"50",2203305,"Demerval Lobão",1882.02,12746.993,40502.978,125747.528,13274,13526,0.942406698210853,0.101369730305951,0.613228471813339,0.327404009266019,0.00471270111702271,3,6958,987,7948,0.751258178158027
"51",3517604,"Guapiara",7438.886,8451.344,189593.932,586681.038,17988,18002,0.469466948116876,0.0144053471181047,0.0324153880560971,0.326308046849948,0.000194517397664073,2,6458,3950,10410,0.240922190201729
"52",5107198,"Ribeirãozinho",2016.391,4637.81,26779.164,82799.87,2199,2275,2.0385978021978,0.0560122860096278,0.231500381127924,0.326044687562155,0.00853051443983643,0,797,562,1359,0.172921265636497
